SS_TimeStamp,A_3FBFP04-SD_MCB,A_AFCFLW_MCB,A_314M02CR_DAB,A_TE31905_FSSS,A_PT31906_DAB,A_TE31412_RIO,A_TE31413_RIO,A_TE31414_RIO,A_TE31415_RIO,A_TE31416_RIO,A_TE31409_RIO,A_TE31410_RIO,A_TE31411_RIO,A_TE30502_DAB,A_PT30704_DAB,A_TE31906_FSSS,A_TE31907_FSSS,A_PT32402_MCB,A_324PCV02_MCB
2017/12/12 12:13,97.21162415,22.77981186,35.06827927,35.36562729,0.536008537,55.64116669,59.01854324,53.60660172,29.28873062,27.39595222,54.66458511,54.46111298,53.56591034,9.807146072,4.928898335,41.2034111,40.22805405,10.09160995,47.77766418
2017/12/12 13:23,154.5773621,23.53704071,34.15280533,31.569561,0.543332338,57.47228241,60.84965897,55.31564713,31.1037941,29.20816994,56.57707977,56.2922287,55.478405,10.61500168,4.980165005,36.97284698,36.41547012,10.40632248,52.19696808
2017/12/12 14:23,186.492981,28.44853973,38.26670837,31.29756355,0.546765327,59.54753494,62.84353256,57.39089966,31.95170021,30.01365662,59.01854324,58.73371506,57.91989136,10.876297,5.860238075,36.67470932,36.13030243,12.43693256,72.76924896
2017/12/12 15:33,185.4401855,24.74441147,34.07842255,31.5436573,0.545620978,61.62279129,64.95949554,59.46615601,32.83996201,30.98266983,61.09381866,60.68689728,59.87307739,11.0309124,5.317058086,36.77840805,36.22104645,10.64394283,57.3224411
2017/12/12 16:33,209.4598694,20.04844666,31.79546928,31.5307045,0.547909677,59.66960526,63.00631332,57.51296997,33.00146103,31.06341934,58.40819168,58.12334061,57.30952072,10.76961708,3.923100471,36.63583374,36.05252838,8.952692032,40.99063492
2017/12/12 17:43,211.7371063,23.14793587,32.90547562,31.49184799,0.546765327,58.28610229,61.74488068,56.33291626,32.47659302,30.53854752,57.18745041,56.94329071,56.08877563,10.11637783,4.264876366,36.62285995,36.02662659,10.1246357,51.52122498
2017/12/12 18:43,209.7230682,22.60624123,32.67088699,31.67317772,0.546765327,58.20472336,61.62279129,56.25153732,32.07282639,30.2155304,57.26882935,56.98397827,56.12946701,9.855082512,4.335672855,36.77840805,36.23399734,9.925961494,50.55672073
2017/12/12 19:43,198.6916351,20.90104485,31.26334953,31.75089264,0.546383917,58.08265305,61.58209991,56.08877563,32.07282639,30.25590515,57.06536102,56.8212204,55.96670532,9.944375992,4.17210865,36.77840805,36.22104645,9.265450478,43.86780548
2017/12/12 20:43,180.6797333,20.54436493,31.81263351,31.45299149,0.546765327,57.10607147,60.60551834,55.11217499,31.83057594,29.97335052,56.0073967,55.72254562,54.9494133,9.071195602,3.786390066,36.5839653,35.97477722,9.140908241,43.11099243
2017/12/12 21:53,189.8459015,20.61493874,34.64487457,31.20691872,0.547833383,56.49569702,59.91376495,54.46111298,31.42681122,29.65116692,55.27495575,55.03079605,54.21697235,8.287308693,3.862068892,36.35064697,35.76740265,9.158301353,42.80135727
2017/12/12 23:04,203.5550842,25.82971001,34.09558868,31.09034729,0.547604501,56.57707977,59.95445633,54.46111298,31.18456268,29.28873062,55.763237,55.478405,54.66458511,7.830041885,4.838572025,36.31177139,35.76740265,11.18886375,61.68265915
2017/12/13 0:13,150.6980438,21.60296059,31.86985016,30.89608383,0.547375619,56.5363884,59.91376495,54.50182343,31.22493744,29.28873062,55.43771744,55.11217499,54.33904266,7.764717579,4.117180347,36.11735153,35.56002808,9.572879791,46.85155869
2017/12/13 1:14,159.7039948,21.00404358,34.69636917,30.75362968,0.548519969,56.25153732,59.75100708,54.2983551,31.14416695,29.24846077,55.19357681,54.86803436,54.09490204,7.895365715,4.020750523,35.98772812,35.44338226,9.323469162,44.27785873
2017/12/13 2:23,90.26548767,16.25276566,32.23603821,30.72774506,0.548901439,57.67573166,61.05312729,55.64116669,31.1037941,29.28873062,56.49569702,56.25153732,55.39702606,8.287308693,3.6289289,36.0136528,35.39155197,7.681753635,24.87843132
2018/1/2 10:43,94.56819916,21.96154785,33.72940063,33.94021225,0.535169363,58.48957443,61.9890213,56.37360764,32.67846298,30.7404213,57.39089966,57.18745041,56.37360764,11.90409279,4.08788538,39.41040802,38.72313309,9.89922142,47.78531647
2018/1/2 11:53,131.8050079,20.38605309,33.08856964,32.86488342,0.537686884,63.49459457,66.87199402,61.29726791,34.73763275,32.92071152,62.59939194,62.31456375,61.50072098,12.0826931,4.106194496,37.94517136,37.30990219,9.235712051,44.24057388
2018/1/2 12:53,183.4604797,31.68917465,39.09062958,32.74829102,0.539975584,64.71533966,68.13340759,62.55870438,35.66627121,33.76861954,64.55257416,64.26774597,63.33183289,12.39192581,6.026243687,37.56918335,37.15433502,13.71952057,82.6690979
2018/1/2 14:04,243.0920105,28.4161129,36.96216202,32.8130722,0.539441586,66.34300232,69.6796875,64.10496521,36.35268021,34.53575897,65.81401062,65.52915955,64.59326935,12.61186504,5.364662647,37.65994644,37.24508286,12.43476009,71.57483673
2018/1/2 15:13,249.2371063,27.69894028,35.41157913,33.26649857,0.53799206,66.01746368,69.39483643,63.86082458,36.59492493,34.77800751,65.69194031,65.32570648,64.43050385,13.0931015,5.253585815,38.02296448,37.53030777,12.26633644,69.71787262
2018/1/2 16:13,247.3260651,27.37849998,35.73771667,33.44787216,0.537686884,65.61055756,68.98793793,63.33183289,36.51417923,34.65688324,65.12226105,64.83740997,63.94220734,13.31304073,5.357338905,38.16557693,37.68587112,12.19466972,69.04621124
2018/1/2 17:22,270.4188232,28.93873596,39.34238815,33.65516663,0.538068354,65.08156586,68.45894623,63.00631332,36.27190781,34.33386612,64.83740997,64.55257416,63.65737534,12.85577393,5.577052116,38.65829468,37.94517136,12.71794224,74.22635651
2018/1/2 18:23,268.3704529,28.99786377,35.45163345,33.84950638,0.538297236,64.75602722,68.0927124,62.518013,35.86816406,33.8897438,64.38981628,64.10496521,63.20976257,12.35715199,5.668599129,38.69718933,38.11372757,12.75159645,74.42256927
