SS_TimeStamp,GROSS_LOAD,AMBIENT_TEMPERATURE,SUCTION_STRAINER_DP,SUCTION_PRESSURE_1,SUCTION_TEMP_1,DISCHARGE_PRESSURE,PUMP_DELTA_PRESS_CV,DISCHARGE_TEMP_1,FLOW_1,FLOW_2,DISCHARGE_FLOW_COMMON,MOTOR_CURRENT,MOTOR_OB_TEMP_1,MOTOR_IB_TEMP_1,MOTOR_STATOR_TEMP_1,MOTOR_STATOR_TEMP_2,MOTOR_STATOR_TEMP_3,PUMP_IB_TEMP_1,PUMP_OB_TEMP_1,PUMP_OB_TEMP_2,IB_SEAL_DRAIN_TEMP,OB_SEAL_DRAIN_TEMP
6/17/2012 19:00,571.9794922,29.53054237,8.738397598,0.913837254,164.6428833,2.507572174,1.59373492,164.7504883,843.5661621,842.1554565,854.3067627,66.47776794,42.02244568,58.88188171,69.49873352,66.99142456,65.85593414,63.96432877,74.96392059,66.93921661,45.72988892,51.02600479
6/18/2012 20:00,799.2600098,29.76288986,16.9821701,1.164203644,178.0825348,2.639472485,1.475268841,178.1500702,1190.35083,1191.006226,1201.465088,79.66780853,43.05908203,60.10617065,75.44811249,72.66166687,71.30202484,63.18190002,72.32170868,64.82519531,44.69242477,51.64962769
6/23/2012 14:00,534.5990601,31.75135231,7.730827332,0.876053333,161.8797302,2.488031387,1.611978054,161.9805145,805.2867432,804.7895508,818.5078735,64.2061615,41.8928833,57.03329468,67.21988678,64.92304993,63.82086182,64.53822327,75.90621185,67.53973389,47.79281616,51.8575325
6/23/2012 18:00,605.5618286,31.90636063,9.39484787,0.976428926,168.4048767,2.553370953,1.576942027,168.4924011,882.6512451,883.9921265,895.5292969,67.94332886,43.3182869,59.94985962,71.20398712,68.74110413,67.53321075,64.64256287,75.43501282,67.20030212,46.11902618,50.70773697
6/23/2012 19:00,513.010437,31.38972282,7.028579712,0.869565248,161.8998871,2.500854969,1.631289721,162.0880585,754.78125,755.8363647,766.7990723,62.96043015,42.25567245,58.82980728,68.56479645,66.14303589,64.98827362,64.38168335,76.45598602,66.20829773,47.70845413,52.04595947
6/23/2012 20:00,537.7974243,30.76988792,7.822422504,0.900097609,163.6744995,2.506961584,1.606863975,163.8089905,793.0778198,794.5789795,806.4776001,64.42599487,40.23501205,56.66890717,66.07125854,63.7295723,62.5039444,63.1297493,76.58690643,66.26049042,46.81308746,51.2013855
6/23/2012 21:00,548.1919556,30.15016747,8.234613419,0.914982259,164.5890656,2.515510559,1.6005283,164.6697693,817.3426514,815.3997803,826.0270996,65.45188141,39.06982422,55.34182358,65.09263611,62.69298172,61.53290558,62.29538727,76.037117,67.51363373,45.93742752,50.42846298
6/24/2012 2:00,689.3178101,27.28542519,12.12750435,1.057339907,172.6971741,2.606497526,1.549157619,172.7511292,999.4378662,998.6505127,1011.945801,72.63311768,37.38747406,54.06729507,65.92118835,63.20798492,62.06075287,61.56547546,71.86412048,63.87303925,43.04611969,48.33795166
7/1/2012 8:00,596.9663086,23.52112579,9.287981987,0.988260269,170.5604248,2.569247723,1.580987454,170.9647369,871.6090088,872.0618286,883.7241821,67.35710144,35.05947495,52.50731277,64.60995483,61.7674942,60.49047852,58.72563171,72.09291077,64.09473419,41.95767593,48.60406113
7/2/2012 18:00,641.7427979,27.5949955,11.02833652,1.022227645,170.8367157,2.593063116,1.570835471,170.9714661,948.6447754,948.6447754,958.5578003,70.28822327,40.13142014,57.97047806,69.73388672,66.9131012,65.55582428,62.11289597,74.49285126,66.59983063,44.87395477,51.46772385
7/11/2012 21:00,984.7625732,32.81063843,26.90522575,1.309233069,184.9116364,2.624817133,1.315584064,184.8845673,1510.426025,1508.371338,1526.76416,90.21982574,42.8776474,61.77400589,81.06741333,77.68680573,76.29889679,62.32144547,74.41436005,66.73036194,47.33860779,55.08167648
7/13/2012,805.8565674,28.24005318,16.41731834,1.156952143,177.6840668,2.640693903,1.48374176,177.7448578,1161.676636,1163.022461,1175.727295,78.7151947,37.4133606,55.91422653,70.17811584,67.03059387,65.70587921,59.29861832,71.98178101,65.79069519,42.17791367,50.22066498
7/13/2012 5:00,640.1436157,27.25962067,10.69247818,1.010014653,170.1359253,2.583292961,1.573278308,170.2167664,934.3717651,935.6367798,948.6071167,70.21494293,35.96463394,53.39120483,64.5773468,61.83266068,60.66636658,59.68935394,72.81858063,65.99948883,42.50185394,48.32497025
7/17/2012 16:00,768.076416,31.18309402,15.62347317,1.151990652,177.5557404,2.64435792,1.492367268,177.5827789,1144.824097,1145.165283,1155.705444,77.90913391,40.70120621,58.36105728,72.66823578,69.84492493,68.50601959,61.90435028,72.50476074,65.60800934,43.92102814,51.18189621
7/18/2012 11:00,744.0889893,29.29822731,14.72276592,1.098558784,175.2605286,2.610161304,1.51160252,175.3684845,1109.297974,1110.000488,1120.893677,77.24962616,38.81094742,55.94025421,70.61587524,67.72904968,66.50193787,60.00195313,71.72032928,65.37316132,42.11961746,49.90896225
