时间, Changliu3 - Avg[V 有效值 A] (V), Changliu1 - Avg[V 有效值 A] (V), Changliu2 - Avg[V 有效值 A] (V), Changliu4 - Avg[V 有效值 A] (V), KunYang3 - Avg[V 有效值 A] (V), KunYang1 - Avg[V 有效值 A] (V), WanKe2 - Avg[V 有效值 A] (V), WanKe1 - Avg[V 有效值 A] (V), QinZhou4 - Avg[V 有效值 A] (V), QinZhou3 - Avg[V 有效值 A] (V), JiangChuan5 - Avg[V 有效值 A] (V), JiangChuan3 - Avg[V 有效值 A] (V), JiangChuan1 - Avg[V 有效值 A] (V), JiangChuan4 - Avg[V 有效值 A] (V), JiangChuan2 - Avg[V 有效值 A] (V)
2018-02-01 01:15:00,66969.2578125,66924.3125,66937.0703125,66981.6953125,6052.91748046875,21130.65625,6108.876953125,6053.8173828125,5981.72265625,6056.0517578125,21298.837890625,65309.765625,67522.046875,21385.958984375,66826.984375
2018-02-01 01:18:00,66991.890625,66942.515625,66955.484375,67004.2265625,6057.091796875,21143.287109375,6100.60595703125,6045.71923828125,5982.9228515625,6057.1865234375,21307.927734375,65350.51171875,67495.0703125,21375.900390625,66847.671875
2018-02-01 01:21:00,67015.5390625,66949.8203125,66963.0234375,67027.8671875,6063.58984375,21166.111328125,6100.15185546875,6046.74169921875,5975.095703125,6051.30908203125,21319.541015625,65420.92578125,67549.78125,21394.0546875,66872.546875
2018-02-01 01:24:00,67022.890625,66967.5859375,66980.90625,67035.6328125,6070.22802734375,21190.072265625,6102.71044921875,6049.83740234375,5976.150390625,6051.14404296875,21332.423828125,65503.0,67578.4765625,21404.775390625,66886.96875
2018-02-01 01:27:00,67047.078125,66987.5390625,67001.125,67059.515625,6069.33251953125,21185.9140625,6109.7021484375,6051.53369140625,5978.22119140625,6054.43701171875,21337.33203125,65499.23828125,67588.671875,21405.73828125,66896.8203125
2018-02-01 01:30:00,67105.96875,67036.1875,67049.609375,67118.65625,6073.34033203125,21199.736328125,6118.3212890625,6060.78466796875,5984.63232421875,6056.32861328125,21350.576171875,65534.24609375,67577.0625,21404.177734375,66932.5234375
2018-02-01 01:33:00,67155.1328125,67073.1640625,67086.828125,67167.40625,6083.0361328125,21232.599609375,6112.5888671875,6057.95849609375,5990.5029296875,6065.9423828125,21377.20703125,65628.859375,67677.578125,21436.82421875,67023.078125
2018-02-01 01:36:00,67167.203125,67088.9609375,67102.2578125,67179.7890625,6065.66650390625,21169.611328125,6112.6279296875,6059.822265625,5985.20361328125,6059.80615234375,21315.1015625,65437.5859375,67558.546875,21401.037109375,66836.1484375
2018-02-01 01:39:00,67163.1875,67086.890625,67100.3828125,67175.6875,6052.96435546875,21126.359375,6111.62353515625,6055.82275390625,5983.5830078125,6059.0546875,21263.15234375,65285.80859375,67508.3359375,21384.53515625,66667.9296875
2018-02-01 01:42:00,67193.125,67117.9375,67130.9296875,67205.609375,6040.56787109375,21083.29296875,6110.017578125,6055.0166015625,5983.62548828125,6057.8544921875,21221.478515625,65159.9609375,67327.3359375,21325.935546875,66540.6875
2018-02-01 01:45:00,67208.1875,67134.4609375,67147.3046875,67220.9296875,6027.76220703125,21039.34765625,6109.3974609375,6056.7119140625,5983.69775390625,6058.68603515625,21177.388671875,65026.2890625,67116.8984375,21257.755859375,66409.609375
2018-02-01 01:48:00,67194.4609375,67113.6484375,67126.2578125,67207.3984375,6026.51513671875,21037.82421875,6106.9814453125,6054.0546875,5982.515625,6057.17041015625,21175.759765625,65024.0,67108.1875,21255.17578125,66402.46875
2018-02-01 01:51:00,67193.3359375,67111.0625,67123.5703125,67205.9296875,6027.1787109375,21038.310546875,6105.75537109375,6052.5380859375,5981.9873046875,6055.99365234375,21176.896484375,65023.66015625,67149.3515625,21269.91796875,66408.703125
2018-02-01 01:54:00,67209.46875,67122.6640625,67135.8046875,67221.78125,6023.74267578125,21026.861328125,6110.99755859375,6056.046875,5981.9970703125,6056.232421875,21170.390625,64990.2578125,67154.8359375,21273.576171875,66386.3828125
2018-02-01 01:57:00,67223.859375,67147.5078125,67160.453125,67236.2890625,6025.16162109375,21032.30078125,6112.10791015625,6056.9052734375,5985.82861328125,6061.01123046875,21176.107421875,65008.74609375,67117.078125,21260.1328125,66403.7421875
2018-02-01 02:00:00,67248.140625,67159.921875,67173.140625,67260.328125,6026.65234375,21035.701171875,6113.9541015625,6056.64794921875,5988.70703125,6059.65185546875,21181.669921875,65023.31640625,67126.15625,21264.140625,66415.5703125
2018-02-01 02:03:00,67289.5546875,67193.9375,67207.5234375,67302.28125,6027.92529296875,21041.126953125,6113.27734375,6058.33154296875,5986.7958984375,6058.04736328125,21182.9296875,65040.66796875,67223.28125,21296.736328125,66421.8671875
2018-02-01 02:06:00,67311.90625,67216.3671875,67229.7734375,67324.78125,6027.26953125,21039.7734375,6112.8076171875,6056.810546875,5989.14990234375,6060.37353515625,21181.28125,65035.5078125,67226.34375,21297.537109375,66419.109375
2018-02-01 02:09:00,67101.1640625,67001.546875,67014.2265625,67114.53125,6025.71044921875,21035.369140625,6110.5693359375,6056.39892578125,5987.982421875,6059.99072265625,21180.849609375,65036.640625,67210.5625,21291.642578125,66412.1953125
2018-02-01 02:12:00,67077.6328125,66987.96875,67001.453125,67090.453125,6022.8984375,21026.72265625,6111.52783203125,6059.92041015625,5987.67822265625,6058.33447265625,21173.205078125,65009.50390625,67182.5625,21282.39453125,66385.078125
2018-02-01 02:15:00,67055.203125,66976.5703125,66989.7421875,67067.9296875,6023.92041015625,21028.107421875,6110.38134765625,6059.3681640625,5985.45361328125,6056.68701171875,21174.3203125,65012.7421875,67119.8203125,21262.181640625,66389.96875
2018-02-01 02:18:00,67038.8671875,66966.359375,66979.640625,67051.8515625,6028.873046875,21042.2421875,6113.5234375,6060.0908203125,5982.9443359375,6055.18212890625,21195.12109375,65056.63671875,67191.0234375,21285.55859375,66471.96875
