时间, Changliu3 - Avg[I 有效值 A] (A), Changliu1 - Avg[I 有效值 A] (A), Changliu2 - Avg[I 有效值 A] (A), KunYang3 - Avg[I 有效值 A] (A), KunYang1 - Avg[I 有效值 A] (A), WanKe2 - Avg[I 有效值 A] (A), WanKe1 - Avg[I 有效值 A] (A), QinZhou4 - Avg[I 有效值 A] (A), QinZhou3 - Avg[I 有效值 A] (A), JiangChuan5 - Avg[I 有效值 A] (A), JiangChuan3 - Avg[I 有效值 A] (A), JiangChuan1 - Avg[I 有效值 A] (A), JiangChuan4 - Avg[I 有效值 A] (A), JiangChuan2 - Avg[I 有效值 A] (A)
2018-02-05 05:42:00,25.7539825439453,0.0,27.3877773284912,1.07577002048492,101.481056213379,78.6779937744141,59.2658195495605,43.8774833679199,3.33990716934204,59.6377868652344,56.2427749633789,75.063720703125,60.0280876159668,0.0
2018-02-05 05:45:00,25.6370315551758,0.0,27.7674903869629,1.07287001609802,100.551445007324,81.6666107177734,60.7651519775391,44.7962951660156,3.34499931335449,60.4805564880371,56.2397956848145,75.176399230957,62.8568458557129,0.0
2018-02-05 05:48:00,26.5814628601074,0.0,26.5868015289307,1.05061101913452,99.7321243286133,81.8165740966797,62.0369186401367,44.6268424987793,3.25977349281311,60.21826171875,55.919750213623,75.1076889038086,61.6150131225586,0.0
2018-02-05 05:51:00,27.0210704803467,0.0,25.8351135253906,1.02821981906891,102.072891235352,80.7696914672852,60.5630340576172,43.7324905395508,3.37426161766052,61.5086898803711,55.5090675354004,76.7637710571289,61.445743560791,0.0
2018-02-05 05:54:00,26.7390480041504,0.0,29.3244743347168,1.02969741821289,103.192413330078,82.0325393676758,59.7746620178223,44.72900390625,3.42985200881958,63.8807830810547,55.5993041992188,76.250846862793,61.8851623535156,0.0
2018-02-05 05:57:00,27.5730857849121,0.0,30.0590667724609,1.04685568809509,104.147735595703,82.4021987915039,59.9193572998047,45.0006904602051,3.68974566459656,66.0804290771484,55.4451026916504,76.4907684326172,61.6995048522949,0.0
2018-02-05 06:00:00,28.9096927642822,0.0,28.6536636352539,1.04174172878265,103.540000915527,84.3362579345703,62.8684921264648,43.7185821533203,3.44507169723511,62.418628692627,55.230899810791,76.176139831543,61.7168922424316,0.0
2018-02-05 06:03:00,27.6472091674805,0.0,29.8916625976563,1.02904260158539,101.699234008789,85.5451507568359,62.8070487976074,45.0144195556641,3.38546442985535,65.4347839355469,55.1235275268555,78.1392593383789,60.6577301025391,0.0
2018-02-05 06:06:00,29.0920467376709,0.0,29.8720645904541,0.945294320583344,105.756958007813,87.6512145996094,66.2560577392578,44.5616416931152,3.55865097045898,65.0261535644531,55.9703559875488,78.9908828735352,60.2375907897949,0.0
2018-02-05 06:09:00,31.2466888427734,0.0,28.7576751708984,0.881134033203125,107.880783081055,88.4538269042969,65.6033401489258,43.6041603088379,3.49515843391418,66.2001953125,56.7008285522461,77.7573547363281,60.7901229858398,0.0
